Series Name,Series Code,Country Name,Country Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Population growth (annual %),SP.POP.GROW,Afghanistan,AFG,2.75522538418067,2.5125738785155,2.5691143189101,2.81261695888044,3.095118614892,3.27270292128737,3.3152241309788,3.18320145523634,2.94323418503806,2.6891634730922
Population growth (annual %),SP.POP.GROW,Albania,ALB,-0.75571875541991,-0.767342959142321,-0.673894046451936,-0.49646196338738,-0.269017331764615,-0.165151040121679,-0.183211384606402,-0.207046999760594,-0.291205786840436,-0.159880412127734
Population growth (annual %),SP.POP.GROW,Algeria,DZA,1.53403833511292,1.62129805825395,1.72071735074783,1.82135815863613,1.92478657981558,2.00661417637038,2.03609172423878,2.00066645791365,1.91995902410572,1.82546343244561
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,-1.28183783913039,-1.51917515397331,-1.4180376590663,-1.05486210207446,-0.571394076048246,-0.162822288346136,0.139319888281354,0.234775806748866,0.180222443215116,0.111575018773335
Population growth (annual %),SP.POP.GROW,Andorra,AND,2.06759812375179,1.41466476822685,0.714106276606596,-0.0153927216411839,-0.829969092507289,-1.58865311753287,-2.01331401109279,-1.95617789444492,-1.53783629385106,-0.944016798404803
Population growth (annual %),SP.POP.GROW,Angola,AGO,3.56453863281601,3.56344784206319,3.56682098343689,3.57009863798221,3.5703524379835,3.55949601038819,3.53182419107337,3.48541253470949,3.42802067046523,3.36757213106932
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,1.18890448301412,1.19331990037546,1.18565930323636,1.14747171215348,1.11147273015805,1.0992546896492,1.07605829638154,1.06864803793939,1.05434632980079,1.03542237041134
Population growth (annual %),SP.POP.GROW,Arab World,ARB,2.43396656741861,2.46392053216866,2.44820103735421,2.40239318150495,2.35252747176797,2.30507262677273,2.2488442910042,2.18519686056942,2.11821040421212,2.04560093853713
Population growth (annual %),SP.POP.GROW,Argentina,ARG,1.03443291949168,1.02589971759083,1.02737729041769,1.0350371425283,1.04485986238761,1.05037622160469,1.04727674680202,1.03270928221435,1.00985496040526,0.984741905647839
Population growth (annual %),SP.POP.GROW,Armenia,ARM,-0.863750024280934,-0.850367271208761,-0.677479352556589,-0.391023921304488,-0.0601436652086919,0.220269188354708,0.401251977426153,0.438331527278028,0.368528212088839,0.269302288175516
Population growth (annual %),SP.POP.GROW,Aruba,ABW,0.384060021106787,0.1313107068666,0.0986164197354338,0.212680144365572,0.376984768239015,0.512144988851461,0.592914005394165,0.587492389430341,0.524658158569933,0.459929191971747
Population growth (annual %),SP.POP.GROW,Australia,AUS,0.624678435014185,2.00402174031569,2.0610451296841,1.55548958906995,1.38952731561803,1.78544535033273,1.75833807698328,1.53587885355185,1.46405981561408,1.49820974240174
Population growth (annual %),SP.POP.GROW,Austria,AUT,0.324146535285463,0.313041437661508,0.261953189906348,0.240394299500766,0.337080841831645,0.45593747231891,0.584103985990017,0.730867276812437,1.06662280816241,1.13222099771547
Population growth (annual %),SP.POP.GROW,Azerbaijan,AZE,1.13385546615645,2.09985403259251,2.07614826384645,1.18978770786007,1.30300085487651,1.32876382733755,1.29344702700591,1.24820899735588,1.19120985807018,1.11785721013911
Population growth (annual %),SP.POP.GROW,"Bahamas, The",BHS,1.91642622365806,1.83737824591945,1.75689491400214,1.6700402670639,1.57715669462138,1.48146444898241,1.38829021880535,1.29813294741223,1.21430815894272,1.12947336670266
Population growth (annual %),SP.POP.GROW,Bahrain,BHR,7.77373699950485,7.32246983377223,6.12806225768925,4.60390525330931,2.97005195448971,1.70243546748316,1.16179907111335,1.58280223356287,2.61866519263615,3.81279679337586
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,1.2110530460863,1.12631778923329,1.10199011584237,1.11988788804906,1.15194904928732,1.17243498017455,1.17731889208496,1.15718802793056,1.12014425853279,1.08016523912062
Population growth (annual %),SP.POP.GROW,Barbados,BRB,0.403129055405472,0.422427177799824,0.414186551174904,0.393879790063157,0.368459991630948,0.350062436580856,0.327605266641372,0.309598864704529,0.293163377114116,0.273711417814496
Population growth (annual %),SP.POP.GROW,Belarus,BLR,-0.458847535622636,-0.345415054298517,-0.222960730145107,-0.170360662064171,-0.18362402269138,-0.0916374821376228,0.0158685786206804,0.0899025577714443,0.159300801922472,0.125511109801562
Population growth (annual %),SP.POP.GROW,Belgium,BEL,0.734330830765919,0.789976845480149,0.804599572619861,0.913639391631709,1.38684911331611,0.726031655132031,0.489184301296706,0.234370843738166,0.579446241677791,0.568532309166298
Population growth (annual %),SP.POP.GROW,Belize,BLZ,2.60048532966938,2.56658458146147,2.50426733766847,2.41665669265084,2.33077545537502,2.25541289945294,2.1972385623403,2.15937975511087,2.13628159472158,2.11122043120101
Population growth (annual %),SP.POP.GROW,Benin,BEN,2.85407407622991,2.82352171141544,2.80933688387249,2.80610884361564,2.80342201500857,2.79704040529129,2.79025324304921,2.78228712901218,2.77297792645726,2.76353418122718
Population growth (annual %),SP.POP.GROW,Bermuda,BMU,0.56568975404121,0.593330045617058,0.556125810059283,-0.780059723322568,-0.8598980406609,0.362431076141512,0.313281274113408,0.21230442608573,0.170404826601578,0.193103448275878
Population growth (annual %),SP.POP.GROW,Bhutan,BTN,2.16755862892745,2.01634028322176,1.90876554623359,1.82835814221659,1.75313433065499,1.66822641327716,1.58034499964665,1.49048210511718,1.39889251300037,1.30954695486792
Population growth (annual %),SP.POP.GROW,Bolivia,BOL,1.68881850425168,1.66390596320717,1.64161193150071,1.62115743418645,1.60131763599792,1.58154850458483,1.56268411847736,1.54465176979555,1.52722504697993,1.51004690627574
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: Jobs,,,,,,,,,,,,,
Last Updated: 04/25/2018,,,,,,,,,,,,,
